위도,경도
37.485465,126.900281
37.485344,126.900534
37.485174,126.90088
37.485056,126.901247
37.484931,126.901598
37.484849,126.902023
37.484768,126.902461
37.48474,126.902915
37.484708,126.903384
37.484717,126.90382
37.484685,126.904222
37.484691,126.904606
37.484671,126.905004
37.48468,126.905418
37.484835,126.905403
37.484826,126.905017
37.484842,126.904627
37.484844,126.904244
37.484864,126.903862
37.484859,126.903438
37.484885,126.902966
37.48491,126.902539
37.48499,126.902102
37.485074,126.90167
37.485185,126.901338
37.485301,126.900981
37.485454,126.900657
37.485579,126.900396
37.484695,126.9058
37.484723,126.906195
37.484787,126.906518
37.48486,126.906867
37.484973,126.907237
37.485048,126.90755
37.485151,126.90788
37.485224,126.908214
37.485333,126.908534
37.48542,126.908911
37.485534,126.909284
37.485626,126.909655
37.48572,126.909952
37.485793,126.910261
37.485887,126.910556
37.485973,126.910895
37.486092,126.911191
37.486189,126.911477
37.486308,126.911734
37.486412,126.911997
37.486551,126.912218
37.486668,126.912463
37.486821,126.91268
37.486969,126.912938
37.487158,126.913214
37.487302,126.913472
37.487478,126.91372
37.487634,126.914013
37.487821,126.914262
37.487989,126.914577
37.488202,126.914886
37.488406,126.915233
37.488619,126.915533
37.488819,126.915881
37.489038,126.916159
37.489257,126.916461
37.489489,126.916711
37.489687,126.917174
37.489771,126.917717
37.489683,126.916715
37.4895,126.916414
37.489263,126.916188
37.489018,126.915867
37.488806,126.91556
37.488628,126.915264
37.488431,126.914973
37.488269,126.914697
37.488079,126.91441
37.48793,126.914154
37.487738,126.913869
37.487593,126.913619
37.487431,126.913379
37.487302,126.913153
37.487158,126.912948
37.487011,126.912684
37.486875,126.912504
37.48678,126.912313
37.486642,126.912104
37.486545,126.911881
37.486426,126.911636
37.486312,126.911379
37.486201,126.911065
37.486087,126.910753
37.486,126.910417
37.485903,126.910105
37.485821,126.909763
37.485724,126.909444
37.48563,126.909064
37.485514,126.90868
37.485413,126.908289
37.485304,126.907895
37.485202,126.907519
37.485098,126.907167
37.485007,126.906807
37.484913,126.906475
37.484878,126.906128
37.484829,126.90575
37.490024,126.917625
37.48999,126.91721
37.48991,126.916847
37.489789,126.9165
37.489614,126.916159
37.489428,126.915851
37.489249,126.91556
37.489072,126.915268
37.488893,126.914973
37.488707,126.914663
37.488536,126.914378
37.488359,126.914097
37.488187,126.913811
37.488014,126.913532
37.487853,126.913264
37.487675,126.912958
37.4875,126.912658
37.487329,126.912331
37.487171,126.912017
37.487027,126.911711
37.4869,126.911414
37.486801,126.911179
37.4867,126.910921
37.486599,126.910634
37.486493,126.910306
37.486404,126.910016
37.486307,126.909705
37.486204,126.909374
37.486095,126.909025
37.485987,126.908672
37.485879,126.908331
37.485769,126.907974
37.485656,126.90761
37.485549,126.907261
37.485444,126.906919
37.48535,126.906606
37.485298,126.906288
37.485248,126.905991
37.485188,126.905698
37.484989,126.90573
37.485049,126.906059
37.485129,126.906346
37.485218,126.90665
37.485319,126.906979
37.485424,126.907324
37.485529,126.907666
37.485643,126.908038
37.485752,126.908397
37.485863,126.908748
37.48597,126.909089
37.486077,126.909442
37.486178,126.909772
37.486276,126.910087
37.486371,126.910387
37.486484,126.910718
37.486587,126.911017
37.486691,126.911282
37.486787,126.91151
37.48692,126.911815
37.487052,126.912097
37.487215,126.912432
37.487396,126.912769
37.487569,126.91307
37.487756,126.913379
37.487924,126.913658
37.488087,126.913926
37.488248,126.914188
37.488429,126.914487
37.488596,126.914762
37.48878,126.915067
37.488967,126.915375
37.489147,126.915682
37.489334,126.91598
37.489516,126.916286
37.489674,126.916597
37.485174,126.90545
37.485177,126.904994
37.485212,126.904543
37.485259,126.903949
37.485103,126.905431
37.485105,126.905107
37.485118,126.904754
37.485144,126.904431
37.48516,126.904135
37.48518,126.903771
37.485208,126.903382
37.485228,126.903013
37.485258,126.902668
37.485311,126.902291
37.485394,126.901897
37.485478,126.901587
37.48559,126.901271
37.485701,126.900978
37.485828,126.900697
37.485708,126.900605
37.485581,126.900894
37.485461,126.901197
37.485359,126.901524
37.485268,126.901857
37.485186,126.902264
37.485125,126.902683
37.485092,126.90308
37.485063,126.90351
37.485042,126.903885
37.485022,126.904261
37.485007,126.904595
37.484978,126.905034
37.48498,126.905405
37.476557,126.979245
37.476551,126.979617
37.476542,126.979942
37.47653,126.980291
37.476515,126.980644
37.476491,126.981017
37.476468,126.981347
37.476435,126.981713
37.476394,126.982097
37.476351,126.982471
37.476299,126.982879
37.476242,126.98327
37.476179,126.98367
37.476116,126.984041
37.47605,126.984432
37.475976,126.984809
37.476166,126.984862
37.476243,126.984459
37.47631,126.984078
37.476375,126.983702
37.47644,126.983289
37.476499,126.982888
37.476551,126.982479
37.476594,126.982101
37.476634,126.981711
37.476665,126.981347
37.476692,126.981012
37.476715,126.980642
37.476732,126.98029
37.476742,126.979941
37.476751,126.979622
37.476754,126.979249
37.476575,126.980789
37.476542,126.981212
37.476535,126.981306
37.476483,126.98187
37.476472,126.981969
37.476429,126.982376
37.476496,126.982387
37.476538,126.981974
37.476551,126.981869
37.476602,126.981309
37.47661,126.981216
37.476644,126.980793
